Name	English1	TheoryOfSets	HistoryOfUkraine	MathAnalysis1	AlgebraAndGeometry1	Programming1	UkrainianLanguage	Culturology	English2	PhysicalTraining	InternetTechnology	MathAnalysis2	AlgebraAndGeometry2	DiscreteMathematics	Programming2	NumericalPrastice
s1	90	90	91	90	75	90	95	96	100	90	90	90	75	90	95	100
s2	88	90	91	80	75	98	95	90	93	100	75	80	75	90	95	100
s3	85	100	93	92	91	100	96	75	82	90	90	95	95	100	100	100
s4	91	99	100	90	90	97	100	94	100	90	92	95	95	99	95	95
s5	80	85	78	80	90	90	65	75	65	90	90	90	75	85	98	100
s6	63	63	63	63	63	63	63	63	63	63	63	63	63	63	84	63
s7	90	92	75	95	90	90	65	90	90	90	88	90	95	92	98	100
s8	75	75	90	61	60	80	60	90	65	92	75	70	65	75	75	75
s9	92	75	92	75	65	90	60	95	99	90	75	75	65	75	90	90
s10	87	65	85	75	75	80	75	67	81	90	75	75	60	65	90	75
s11	63	95	95	95	63	84	84	84	63	84	84	84	63	95	84	84
s12	95	95	95	84	84	84	84	84	95	84	84	95	84	95	95	95
s13	95	84	84	63	63	63	70	70	95	70	70	84	84	84	84	95
s14	96	75	95	65	60	60	80	90	93	90	95	90	60	75	75	90
s15	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63
s16	63	63	84	63	63	95	70	70	63	70	70	63	63	63	95	95
s17	91	75	85	70	65	70	61	69	91	90	70	75	65	75	70	80
s18	96	95	100	96	90	97	100	90	90	90	90	95	90	95	90	100
s19	84	95	84	95	95	84	85	85	84	85	85	95	95	95	95	95
s20	63	63	84	63	63	84	70	70	63	70	70	63	63	63	84	63
s21	91	90	90	90	98	98	93	93	100	90	92	95	95	95	90	95
s22	63	63	63	63	63	84	70	70	63	70	70	63	63	63	95	95
s23	63	63	63	84	63	95	68	68	63	68	68	63	63	63	84	63
s24	84	84	95	84	63	63	70	70	84	70	70	84	63	84	95	95
s25	63	63	63	63	63	63	65	65	63	65	65	84	63	63	63	84
s26	95	63	63	63	63	63	63	63	95	63	63	63	63	63	63	63
s27	84	84	95	95	63	63	67	67	84	67	67	95	63	84	84	95
s28	60	63	84	63	63	63	63	63	60	63	63	63	63	63	63	63
s29	63	63	63	63	63	84	65	65	63	63	63	63	63	63	84	84
