Name	DifferentialEquations1	AlgorithmsAndDataStructures	ArchitectureOfNumericalSystems	OperitingSystems	English3	MathAnalysis3	NumericalMethods1	Physics	PhysicalTraining	SystemProgramming	Meshanics	TheoryOfComplexVariableFunctions	OptimizingMethods1	Economics	FunctionalAnalysis	DifferentialEquations2	ProgrEOM	NumericalPrastice
s1	98	100	98	91	90	98	75	90	90	90	89	95	95	88	75	84	97	95
s2	95	100	98	84	90	98	75	95	90	96	89	80	92	95	75	85	97	100
s3	90	100	100	94	76	98	95	98	90	100	99	100	100	90	100	95	100	95
s4	95	95	98	94	93	90	90	96	90	93	95	100	90	90	95	91	95	100
s5	90	100	100	83	75	85	90	90	90	90	90	93	77	80	70	95	100	90
s6	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63
s7	90	90	99	100	90	79	92	90	90	96	90	99	95	90	90	90	100	100
s8	98	75	70	75	75	75	60	90	85	60	85	62	72	90	60	80	80	60
s9	80	80	75	78	92	75	65	90	90	65	70	62	62	90	75	70	90	80
s10	98	75	60	93	79	75	60	90	85	60	85	70	93	90	60	78	83	75
s11	63	76	76	76	63	84	63	84	76	76	76	76	76	95	84	63	95	84
s12	84	85	85	85	95	95	84	95	85	85	85	85	85	95	63	84	84	63
s13	84	70	70	70	95	84	63	95	70	70	70	70	70	95	63	84	84	63
s14	80	80	95	75	86	76	65	96	90	83	65	75	62	90	75	62	78	80
s15	63	65	65	65	63	63	63	63	65	65	65	65	65	63	63	63	95	84
s16	63	68	68	68	63	63	63	84	68	68	68	68	68	84		63	84	84
s17	70	60	70	70	90	75	70	76	90	74	65	70	70	90	78	65	75	80
s18	95	100	95	93	92	98	90	90	92	100	100	99	90	90	100	95	96	95
s19	95	85	85	85	84	95	95	95	85	85	85	85	85	95	95	95	95	84
s20	63	70	70	70	63	63	84	63	70	70	70	70	70	63	84	63	84	84
s21	95	95	98	100	92	98	75	100	90	100	100	96	100	98	100	95	95	95
s22	63	64	64	64	63	63	63	63	64	64	64	64	64	63	63	63	95	84
s23	84	70	70	70	63	63	63	63	70	70	70	70	70	95	84	84	63	63
s24	63	84	84	84	84	84	63	95	84	84	84	84	84	95	63	63	84	95
s25	63	70	70	70	63	63	63	84	70	70	70	70	70	84	84	63	84	84
s26	63	68	68	68	95	84	63	84	68	68	68	68	68	63	63	63	84	84
s27	84	75	75	75	84	95	84	95	75	75	75	75	75	95	63	84	84	84
s28	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
s29	63	65	65	65	63	63	63	95	65	65	65	65	65	84	63	63	95	84
s30	63	65	65	65	63	63	63	84	65	65	65	65	65	84	63	63	84	84
