Name	HistoryOfUkrainianCulture	ProbabilityTheory1	TheoryOfAlgorithms	EquationsOfMathPhysics1	SC2	Sociology	OptimizingMethods2	DataBases	Proecting	SC1	Average	VariationCalculation	LogicalAlgorithms	BZhD	SecurityOfLabour	SpecialProgrammingLanguages	CalculatingGeometry	NumericalMethods2	SC3	InvestigationOfOperations	ProbabilityTheory2	EquationsOfMathPhysics2	CourseWork	NumericalPrastise
s1	100	100	85	90	100	93	98	97	99	95	80	85	100	75	75	94	90	80	95	92	100	95	100	96
s2	99	100	85	90	100	92	85	99	99	98	76,2	77	100	80	77	100	90	80	96	84	95	85	98	100
s3	78	100	95	90	100	92	100	100	100	100	80	90	100	60	75	95	90	95	96	96	100	100	100	100
s4	100	100	95	92	100	93	96	99	100	98	78,6	90	96	93	75	90	90	90	95	96	100	90	100	90
s5	75	86	70	77	94	96	80	99	85	96	72	82	100	76	70	85	90	70	95	90	100	89	93	98
s6	60	60	65	60	60	61	60	60	70	70	40	60	80	60	75	65	61	61	61	60	60	60	75	86
s7	85	90	75	80	60	60	90	91	95	90	73,2	90	60	80	80	95	85	90	93	91	80	80	90	80
s8	64	60	65	60	75	85	60	60	60	60	48	60	61	60	65	65	60	60	70	74	70	60	85	80
s9	90	60	65	60	76	78	63	60	92	62	55,4	60	74	60	62	65	80	67	71	66	60	60	95	62
s10	61	65	65	85	100	72	90	60	70	90	62	88	82	60	70	65	77	70	92	98	90	75	90	75
s11	60	65	70	75	90	85	75	74	88	60	59,4	60	60	60	68	63	63	63	63	60	60	60	85	62
s12	90	75	80	75	77	93	78	63	75	90	61,2	90	60	68	65	65	75	75	75	83	90	90	92	87
s13	75	75	85	89	76	90	74	85	75	90	64,8	65	88	68	65	65	75	75	92	91	90	60	80	80
s14	95	80	65	75	100	93	63	60	65	90	55,6	79	100	60	80	65	80	75	98	94	100	70	93	82
s15	68	60	65	60	76	75	60	60	62	60	48,4	60	60	60	70	60	60	65	66	66	75	60	65	60
s16	60	60	65	60	90	65	60	63	85	60	41	60	76	60	60	60	60	65	60	60	75	60	65	95
s17	68	70	65	60	76	90	63	60	85	82	58	60	61	60	75	65	60	75	60	80	80	65	85	70
s18	90	100	90	95	94	92	92	90	92	100	92,8	91	94	75	75	99	90	90	100	100	100	94	95	95
s19	75	85	75	95	92	93	94	89	85	90	71,6	100	84	60	69	100	90	90	92	71	100	98	90	95
s21	100	100	95	95	95	99	100	99	95	95	77,8	100	100	94	92	100	90	98	95	100	100	100	100	100
s22	63	60	60	63	70	70	60	60	70	60	50	60	74	82	72	65	60	60	60	60	60	63	60	60
s23	65	70	70	60	95	75	67	60	70	89	57,2	60	60	69	70	60	60	70	79	60	90	60	80	73
s24	100	90	75	92	95	100	81	92	95	100	73,6	82	82	68	72	97	85	75	85	91	95	75	79	100
s29	65	65	60	60	63	63	84	63	84	95	60	63	82	80	70	85	80	60	93	60	60	75	90	86
